country,year,month,date,cs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
FR,2006,1,1,100,63245,63616,61480,58000,55635,54547,53734,53666,53364,55123,56799,57966,60988,58535,56567,55826,56889,61969,64638,64836,63776,61195,63195,61031
FR,2006,1,2,100,57500,58079,56571,54528,54585,57023,60866,65227,67213,69047,69901,70910,71673,70536,68511,67608,68373,74020,76314,74209,70816,66499,68041,65950
FR,2006,1,3,100,62506,63187,61606,59361,59190,62559,69388,75415,75604,76004,76184,76396,76112,75096,73261,72225,73079,78643,80682,77440,73694,69440,70569,68187
FR,2006,1,4,100,64791,65298,63381,61115,61100,64389,70434,75775,77159,77814,77775,78274,77578,77002,75330,73887,74660,80046,82501,79555,75864,71545,73100,71038
FR,2006,1,5,100,67654,68155,66696,64665,64174,67443,73974,80247,80167,80220,80329,81095,81029,80407,78865,77899,78276,82884,84134,80092,76605,72517,74237,71912
FR,2006,1,6,100,68522,69571,67839,65635,65377,68679,75138,81464,81404,81671,81075,80949,80655,79174,77639,76056,76377,81557,82604,79044,76061,72013,73546,71405
FR,2006,1,7,100,67610,67248,65200,62498,61039,61923,63330,66988,68689,70678,71137,71644,72986,70483,68206,66618,66841,71961,74079,71907,69273,66430,68868,67311
FR,2006,1,8,100,64149,64174,61987,58867,57217,57036,57420,58744,60209,63189,65196,66143,68181,65141,61878,60349,60564,66267,69684,69637,68141,65055,66710,64681
FR,2006,1,9,100,62071,62996,61545,59767,59953,64054,71381,77571,77687,77901,77503,77688,77548,76553,74452,73281,73642,79039,81414,78490,74519,70190,71973,69762
FR,2006,1,10,100,66535,67188,65709,63592,63553,67071,73963,80267,80166,80042,79930,80033,79264,78153,76005,74785,75100,80175,81872,79506,75907,71662,73082,71173
FR,2006,1,11,100,67681,68026,66570,64385,64277,67450,73672,79493,80903,80756,80217,80511,79974,79135,77173,75600,75617,80047,82103,79450,75518,71417,72595,70281
FR,2006,1,12,100,66873,67279,65575,63156,62906,66121,72718,78704,78770,78642,78244,78457,77937,77010,75246,73992,74065,78459,80957,77958,74008,69581,70992,69057
FR,2006,1,13,100,65570,65894,64274,62205,62194,65492,72554,78598,78559,78510,77582,77185,76637,74981,72459,70818,70665,75977,78864,76265,72861,69455,71053,69187
FR,2006,1,14,100,65465,65542,63656,61367,60386,61103,63015,66709,68247,69716,68807,68345,69160,66130,63405,61486,61677,67941,71288,69900,67803,65237,68124,66852
FR,2006,1,15,100,63810,64000,62273,59657,58044,57977,58357,60002,61688,64592,65605,65893,66728,63168,59892,58268,58812,65085,69531,69575,68173,65152,67181,65227
FR,2006,1,16,100,62142,63215,61706,59936,60064,64051,70848,76860,77425,77693,77646,77953,77946,77080,75262,74143,74235,77968,80336,77420,73189,68622,69752,67724
FR,2006,1,17,100,64127,64776,62913,60828,60633,63838,71034,76894,77365,77490,77528,78052,77701,77137,75315,74008,73587,76704,78902,75602,71575,67137,68146,65763
FR,2006,1,18,100,62181,62448,60345,58242,58207,61310,67438,73001,74348,74523,74383,74764,74294,73741,71845,70539,70189,73588,76219,73029,69119,64633,65955,63968
FR,2006,1,19,100,60263,60896,59072,56797,56479,59528,66630,72195,71979,71949,71553,71589,70994,70147,68294,66893,66841,70954,74457,71550,67616,63335,64594,62856
FR,2006,1,20,100,59729,60190,58457,56114,56063,59235,66239,72125,72038,71989,71671,71603,71114,69717,67816,66321,65954,70501,73259,70387,66844,63585,65530,63401
FR,2006,1,21,100,59779,59991,57994,55543,54424,55319,57457,60475,62547,64148,63754,63557,64555,61849,59330,57490,57274,62114,66792,65259,63050,60735,63538,62420
FR,2006,1,22,100,59432,59846,57907,55145,53927,54144,54627,56215,58183,61066,62242,62634,63777,60239,57500,55759,56030,61413,66705,67239,65986,63141,65244,63628
FR,2006,1,23,100,60797,61966,60919,58918,59569,63831,70975,77088,77818,78073,77382,77245,76655,75506,72915,71326,71245,75935,81426,79098,75429,71169,72906,71353
FR,2006,1,24,100,68233,69129,67654,65945,66171,69514,76550,82233,82087,81818,80945,79924,78842,77033,74760,73053,72863,77359,82783,80491,76878,72755,74811,72506
FR,2006,1,25,100,69320,70647,69158,67143,67169,70476,76206,80478,81640,81616,80151,79449,78001,76391,73876,72211,72008,76384,81433,78775,75065,70924,72624,70886
FR,2006,1,26,100,67868,70677,68671,66446,66144,69209,74965,79144,78845,79393,79113,79561,79555,78859,77404,76592,76418,79933,82441,80283,76498,72179,74053,72174
FR,2006,1,27,100,69186,72321,70742,68481,68261,71561,77679,83605,84245,84411,84385,84514,84180,83157,81115,79747,79486,82733,85743,82821,79219,75523,77424,75226
FR,2006,1,28,100,71945,72017,69982,67387,65969,66772,68570,71955,74326,76917,77414,77939,79266,76815,74631,72619,71896,75330,78893,76758,73845,70923,73278,71693
FR,2006,1,29,100,68538,68792,66865,63975,62326,62111,62323,63451,65481,68417,70101,70414,71532,67940,64884,62721,62485,67043,72902,72981,71487,68028,69999,68496
FR,2006,1,30,100,65625,66712,65509,63799,63797,68067,74705,79978,80269,80092,79471,78818,78898,77313,74662,72811,72490,76003,81770,79290,75833,71687,73249,71234
FR,2006,1,31,100,67932,69330,67897,65843,65565,69085,75829,81311,81462,81012,80011,79605,78594,76741,74165,72632,72099,75633,81744,79432,75948,71621,73417,71454
FR,2006,2,1,100,68460,69179,67797,65627,65731,69200,75996,81037,82493,82675,81856,81375,80322,78870,76316,74557,74367,77841,82437,79736,76492,72327,73798,71949
FR,2006,2,2,100,68907,69564,67851,65587,65376,68822,75348,80517,81240,81577,81595,82146,81793,80973,79123,77611,76986,79177,83601,81479,77774,73330,75098,72982
FR,2006,2,3,100,69877,70675,69144,67113,66765,70081,76465,81835,81496,82072,82128,82515,82426,81087,78962,77160,76399,79190,83548,80283,77514,73964,75775,73622
FR,2006,2,4,100,69902,70641,68505,65679,64270,64904,66488,69626,71878,73895,74102,74591,76221,73620,71209,69228,68513,70990,76258,74694,72131,69340,71874,70593
FR,2006,2,5,100,67620,67927,66132,63230,61415,61241,61564,62449,64674,67464,68828,69027,70139,66883,63818,61975,61658,65139,71775,71856,70410,67286,69224,67282
FR,2006,2,6,100,64407,65453,64109,62126,62384,66188,72006,75851,76563,77112,76965,76947,76837,76112,73861,72349,71974,74159,79318,76582,72584,68467,70094,68272
FR,2006,2,7,100,64993,67375,65828,63424,63022,66508,72743,78065,78519,79066,78890,79254,78681,77906,75719,74214,73596,75467,80365,77345,73651,69365,70720,68581
FR,2006,2,8,100,65271,66077,64223,62193,62055,65394,71540,76042,77791,78184,77982,77934,77288,76524,74302,72804,71863,73662,79630,77062,73385,69182,70692,68682
FR,2006,2,9,100,65407,66072,64568,62376,62191,65505,72136,76700,76879,77184,76673,76632,76258,75383,73432,72095,71525,73370,79743,77499,73935,69699,71375,69794
FR,2006,2,10,100,66922,67580,66157,64269,64252,67595,74253,78665,79090,78636,77204,76544,76061,74441,71979,70225,69399,71600,78648,76608,73533,70509,72716,70872
FR,2006,2,11,100,67572,67810,66109,63797,62780,63600,65493,67615,69995,71132,70106,69465,70021,67171,64411,62550,61898,64707,71822,70661,68588,66295,69252,68382
FR,2006,2,12,100,65456,66052,64468,61639,60410,60527,60840,61438,63622,65904,66320,66314,67190,63902,60916,59463,59258,62359,69609,69928,68700,66069,68198,66336
FR,2006,2,13,100,63458,64377,63206,61043,61370,65033,69915,73083,74648,75417,75294,75603,75156,74165,71610,69821,68783,69975,76203,74009,70398,66697,68083,66701
FR,2006,2,14,100,63657,66580,64947,62748,62582,65841,71729,75586,76897,77118,76194,75920,75437,74566,72240,70760,69512,70311,76828,74830,70606,66704,68773,66604
FR,2006,2,15,100,63334,63817,62044,59755,59341,62311,67976,71833,74127,75364,75526,76153,75386,75018,73158,71327,70492,71431,76442,73584,69725,65639,66756,64668
FR,2006,2,16,100,61068,61496,59588,57111,56797,59547,65224,69221,70842,71500,71728,72265,71752,70956,69039,67377,66630,68279,74170,72030,68331,64777,66295,64512
FR,2006,2,17,100,61018,61500,59810,57926,57819,60849,66512,70205,71587,72215,71657,71316,71051,69714,67696,65743,64704,66354,72495,70531,67119,64010,65982,64024
FR,2006,2,18,100,60232,60276,58038,55232,54217,54837,56551,58364,61077,62985,62940,63193,64229,61502,58918,57221,56337,58004,64844,64171,61839,59207,62060,60614
FR,2006,2,19,100,57667,57792,55760,53034,51583,51438,51788,52136,54519,57234,59154,60199,62038,59042,56487,55042,54530,56757,63106,63804,62227,59542,61533,59766
FR,2006,2,20,100,56766,57547,56077,54147,54739,58364,63553,66964,68862,69802,69954,70326,70328,69655,67857,66224,66108,67193,73635,71829,68240,64270,66646,64555
FR,2006,2,21,100,61297,63252,61576,59655,59497,62914,68058,72227,74378,75177,75079,75793,75237,74777,72920,71347,70603,71496,77807,75542,71507,67632,69249,67125
FR,2006,2,22,100,63543,63896,62184,59942,59686,62799,67826,71674,73989,75368,75603,76142,75791,75080,73222,71373,70419,71280,77367,75276,71401,67396,69049,67181
FR,2006,2,23,100,63519,63720,62034,59851,59709,62867,68272,72260,74595,75859,76236,76984,76707,76005,74256,72852,72117,73129,78999,76973,73133,69231,71082,68668
FR,2006,2,24,100,65220,65440,63865,61928,61557,64295,69825,73604,76130,77013,76612,76711,76113,74485,72327,70411,69175,70562,76340,74971,71419,68081,70152,68240
FR,2006,2,25,100,64861,64986,63095,60536,59255,59985,61681,63161,66148,67946,67915,67929,69298,66616,64447,62714,61728,63615,70231,69776,67051,64442,67317,66213
FR,2006,2,26,100,63211,63513,61662,59164,57639,57749,58124,57850,60923,63769,65090,65693,67340,64190,61387,59806,59288,61591,69671,70997,69443,66676,68682,67045
FR,2006,2,27,100,64240,65066,64014,61862,62428,66446,72437,75286,76729,76820,76203,76111,75960,75307,72992,71033,70400,71349,78164,77287,73540,69900,70873,69160
FR,2006,2,28,100,65906,67167,65502,63293,63152,66144,71619,74390,75796,76536,76320,76657,76299,75216,73092,71321,70349,70937,76945,76557,73007,69365,71065,69418
FR,2006,3,1,100,66037,68416,66917,64669,64401,67476,71795,72819,74466,74922,74004,73756,73095,72189,70369,68930,68074,68737,76069,75750,72340,69212,71406,69246
FR,2006,3,2,100,65956,68996,67348,65048,64506,67737,72418,74023,75087,75862,75178,74900,74075,73152,70767,69060,68435,69585,76750,75632,71459,67530,69294,67584
FR,2006,3,3,100,64117,66741,64831,62219,61601,64378,70261,73447,75129,76078,75420,75418,74732,73684,71541,69841,68958,70051,75318,74355,70282,66916,68681,66633
FR,2006,3,4,100,62998,62991,60879,58136,56949,57779,59427,61143,64458,66478,66374,66576,68011,65452,63255,61653,60960,62284,68553,68788,65550,63008,65681,64733
FR,2006,3,5,100,61717,62028,60163,57542,56183,56429,56877,57257,60056,62263,62902,63212,64112,61050,57960,56276,55549,57654,65222,68478,67051,63811,66066,64640
FR,2006,3,6,100,61980,62695,61547,59457,59855,63429,69524,71605,72819,72945,72401,72298,72196,71307,68824,67260,66146,66517,73571,74569,70296,66138,68109,66644
